config_chunking,config_index,config_mmr,config_reranker,query,mrr,precision,recall,trap_avoidance,faithfulness,relevancy,context_precision,latency
baseline,ivf,False,True,What is the recommended eGFR threshold for metformin use?,0.25,0.2,0.3333333333333333,1.0,1.0,1.0,1.0,3.7894139289855957
baseline,ivf,False,True,Is patient P-160 taking methotrexate or metformin?,0.5,0.2,1.0,1.0,1.0,1.0,0.5,3.4513819217681885
baseline,ivf,False,True,What is the follow-up plan for the 69M with heart failure with preserved ejection fraction (P-166)?,1.0,0.2,1.0,0.0,1.0,1.0,0.0,3.4833829402923584
baseline,ivf,False,True,What medications is patient P-180 on?,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3.2767412662506104
baseline,ivf,False,True,What are the common side effects of lisinopril mentioned in PubMed abstracts?,0.0,0.0,0.0,1.0,1.0,0.1,0.0,3.2754931449890137
baseline,ivf,False,True,What is the eGFR of the 72M patient with CKD stage 4 (P-170)?,1.0,0.2,1.0,1.0,1.0,1.0,0.0,3.786343812942505
baseline,ivf,False,True,Is empagliflozin prescribed for patient P-001?,0.0,0.0,0.0,1.0,1.0,1.0,0.5,3.480987310409546
baseline,ivf,False,True,Which patients were advised to follow up with nephrology?,0.0,0.0,0.0,1.0,0.7,1.0,1.0,4.63948392868042
baseline,ivf,False,True,"According to guidelines, should metformin be given if eGFR is 45?",0.25,0.2,0.5,1.0,1.0,1.0,1.0,3.6905269622802734
baseline,ivf,False,True,What is patient P-152's creatinine level?,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3.2981481552124023
baseline,ivf,True,True,What is the recommended eGFR threshold for metformin use according to the guidelines?,0.2,0.2,0.3333333333333333,1.0,1.0,0.9,1.0,5.498855829238892
baseline,ivf,True,True,What medications was patient P-170 discharged on and when is their follow-up?,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,0.5,3.788968086242676
baseline,ivf,True,True,What are the discharge instructions for the 38M patient with type 1 diabetes mellitus?,0.5,0.2,1.0,0.0,1.0,0.1,0.5,4.538508176803589
baseline,ivf,True,True,"Advise follow up for 50F with type 2 diabetes mellitus, heart failure with reduced ejection fraction, and CKD stage 3.",0.5,0.2,1.0,0.0,1.0,0.1,0.0,4.198466777801514
baseline,ivf,True,True,What is the discharge creatinine and eGFR for patient P-001?,0.0,0.0,0.0,1.0,1.0,1.0,0.5,3.8442859649658203
baseline,ivf,True,True,What is the recommended eGFR threshold for metformin use?,0.2,0.2,0.3333333333333333,1.0,1.0,0.9,1.0,4.403053045272827
baseline,ivf,True,True,Is patient P-160 taking methotrexate or metformin?,0.0,0.0,0.0,1.0,0.7,1.0,0.5,3.8914921283721924
baseline,ivf,True,True,What is the follow-up plan for the 69M with heart failure with preserved ejection fraction (P-166)?,1.0,0.2,1.0,0.0,1.0,1.0,0.0,3.9319260120391846
baseline,ivf,True,True,What medications is patient P-180 on?,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3.788567066192627
baseline,ivf,True,True,What are the common side effects of lisinopril mentioned in PubMed abstracts?,0.0,0.0,0.0,1.0,1.0,0.1,0.0,4.302282094955444
baseline,ivf,True,True,What is the eGFR of the 72M patient with CKD stage 4 (P-170)?,1.0,0.2,1.0,1.0,1.0,1.0,0.0,3.9932007789611816
baseline,ivf,True,True,Is empagliflozin prescribed for patient P-001?,0.0,0.0,0.0,1.0,1.0,1.0,0.5,4.096086025238037
baseline,ivf,True,True,Which patients were advised to follow up with nephrology?,0.0,0.0,0.0,1.0,0.7,1.0,1.0,3.9937479496002197
baseline,ivf,True,True,"According to guidelines, should metformin be given if eGFR is 45?",0.25,0.4,1.0,1.0,1.0,1.0,1.0,4.608649015426636
baseline,ivf,True,True,What is patient P-152's creatinine level?,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3.9937522411346436
